month,year,house_value,mortgage_balance,homeowner_net_worth,homeowner_stock_portfolio,homeowner_stock_contribution,investor_net_worth,investor_stock_portfolio,investor_stock_contribution,stock_net_worth,gross_stock_portfolio,stock_loan_balance,monthly_rent,investment_property_rental_income,stock_contribution,renter_spendable_cash,homeowner_spendable_cash,investor_spendable_cash
89,7.416666666666667,1963889.4431898498,776974.5853664721,1302174.4258653375,115259.56804195984,1000,1590323.345970237,403408.48814685916,3500,600642.8040089854,783657.2266045314,183014.422595546,5743.4283382464,8615.142507369601,2500,2327.775709233514,3500,3871.714169123201
90,7.5,1969844.4445278023,772640.076004004,1314115.630920757,116911.26239695861,1000,1606393.7869131532,409189.4183893549,3500,607824.9915490737,790588.1384976442,182763.14694857056,5743.4283382464,8615.142507369601,2500,2327.775709233514,3500,3871.714169123201
91,7.583333333333333,1975817.5029112052,768287.9073138518,1326101.8912693295,118572.2956719761,1000,1622532.6304492694,415003.03485191613,3500,615047.9841877514,797558.238774268,182510.25458651653,5743.4283382464,8615.142507369601,2500,2327.775709233514,3500,3871.714169123201
92,7.666666666666667,1981808.673093512,763918.0073497285,1338133.3864144075,120242.72067062385,1000,1638740.1880909668,420849.52234718326,3500,622312.01390383,804567.7490112205,182255.7351073905,5743.4283382464,8615.142507369601,2500,2327.775709233514,3500,3871.714169123201
93,7.75,1987818.0099942028,759530.3038722293,1350210.2966170462,121922.59049507271,1000,1655016.7728547277,426729.0667327543,3500,629617.3139958752,811616.8920381473,181999.5780422722,5743.4283382464,8615.142507369601,2500,2327.775709233514,3500,3871.714169123201
94,7.833333333333333,1993845.5686992868,755124.7243476368,1362332.802899391,123611.95854774093,1000,1671362.699268743,432641.85491709306,3500,636964.119089721,818705.891944605,181741.77285488398,5743.4283382464,8615.142507369601,2500,2327.775709233514,3500,3871.714169123201
95,7.916666666666667,1999891.404461808,750701.1959467224,1374501.0870480775,125310.87853299177,1000,1687778.2833805569,438588.074865471,3500,644352.6651460275,825834.9740871851,181482.30894115765,5743.4283382464,8615.142507369601,2500,2327.775709233514,3500,3871.714169123201
96,8.0,2005955.5727023513,746259.6455435422,1386715.3316176499,127019.40445884079,1000,1704263.8427647515,444567.91560594254,3500,651783.1894678802,833004.3650966781,181221.1756287979,5743.4283382464,8615.142507369601,2500,2327.775709233514,3500,3871.714169123201
97,8.083333333333334,2012038.1290095502,741799.9997142282,1398975.7199339948,128737.5906386727,1000,1720819.6965306764,450581.5672353543,3500,659255.9307084342,840214.292885278,180958.36217684374,5858.296905011329,8787.445357516994,2500,2212.9071424685853,3500,3929.148452505666
98,8.166666666666666,2018139.1291405973,737322.1847357743,1411282.436097791,130465.49169296802,1000,1737446.165330211,456629.22092538787,3500,666771.1288786009,847464.9866538272,180693.85777522635,5858.296905011329,8787.445357516994,2500,2212.9071424685853,3500,3929.148452505666
99,8.25,2024258.6290217547,732826.1265848179,1423635.6649879762,132203.16255103936,1000,1754143.5713655744,462711.0689286376,3500,674329.0253547786,854756.6768991034,180427.65154432476,5858.296905011329,8787.445357516994,2500,2212.9071424685853,3500,3929.148452505666
100,8.333333333333334,2030396.6847488668,728311.750936416,1436035.5922652285,133950.65845277772,1000,1770912.2383971727,468827.3045847218,3500,681929.8628866284,862089.5954211464,180159.73253451806,5858.296905011329,8787.445357516994,2500,2212.9071424685853,3500,3929.148452505666
101,8.416666666666666,2036553.3525878745,723778.9831628166,1448482.4043754663,135708.0349504084,1000,1787752.4917514871,474978.1223264292,3500,689573.8856048917,869463.9753306269,179890.08972573525,5858.296905011329,8787.445357516994,2500,2212.9071424685853,3500,3929.148452505666
102,8.5,2042728.6889753314,719227.748332225,1460976.2885533634,137475.3479102571,1000,1804664.6583290058,481163.7176858996,3500,697261.3390292559,876880.0510562577,179618.71202700178,5858.296905011329,8787.445357516994,2500,2212.9071424685853,3500,3929.148452505666
103,8.583333333333334,2048922.7505189201,714657.9712075652,1473517.4328258808,139252.6535145258,1000,1821649.066612195,487384.2873008401,3500,704992.4700762617,884338.0583522451,179345.58827598346,5858.296905011329,8787.445357516994,2500,2212.9071424685853,3500,3929.148452505666
104,8.666666666666666,2055135.5939979723,710069.5762452357,1486106.0260158156,141040.0082630789,1000,1838706.0466735126,493640.0289207759,3500,712767.5270672571,891838.2343057845,179070.7072385273,5858.296905011329,8787.445357516994,2500,2212.9071424685853,3500,3929.148452505666
105,8.75,2061367.2763639886,705462.4875938615,1498742.2577453663,142837.46897523917,1000,1855835.930183464,499931.1414133369,3500,720586.7597363966,899380.8173445961,178794.05760819954,5858.296905011329,8787.445357516994,2500,2212.9071424685853,3500,3929.148452505666
106,8.833333333333334,2067617.8547411608,700836.6290930394,1511426.3184397155,144645.09279159416,1000,1873039.0504187008,506257.8247705794,3500,728450.4192386856,906966.0472445058,178515.62800582027,5858.296905011329,8787.445357516994,2500,2212.9071424685853,3500,3929.148452505666
